pair,frame,joint_angle_rms_rad,robot_rf_point_rms_m
sparse-neutral__sparse-a,242,0.06674531695793325,0.007021949188986264
sparse-neutral__sparse-a,243,0.06744971062549499,0.007722731274051154
sparse-neutral__sparse-a,244,0.06781293263039187,0.008342131720789155
sparse-neutral__sparse-a,245,0.0677538335898912,0.008643792801946088
sparse-neutral__sparse-a,246,0.06724390742734442,0.008549695360077571
sparse-neutral__sparse-a,247,0.06602326407231474,0.008089066397321258
sparse-neutral__sparse-a,248,0.06471711083823273,0.007616984017920661
sparse-neutral__sparse-a,249,0.06405290942980683,0.007393521214230624
sparse-neutral__sparse-a,250,0.06362695341444642,0.007258374458951508
sparse-neutral__sparse-a,251,0.06351353325489514,0.007218442489501323
sparse-neutral__sparse-a,252,0.0636239355595745,0.007238880068286089
sparse-neutral__sparse-a,253,0.06373883000251862,0.007248695346661853
sparse-neutral__sparse-a,254,0.0637567844353254,0.00721416063743408
sparse-neutral__sparse-a,255,0.0636841094322153,0.007136665899295167
sparse-neutral__sparse-a,256,0.06358903563978259,0.0070358000352884744
sparse-neutral__sparse-a,257,0.06355603767931305,0.006955743832746082
sparse-neutral__sparse-a,258,0.06361187737371342,0.0069409792112684115
sparse-neutral__sparse-a,259,0.06373687996097839,0.0069591479971766405
sparse-neutral__sparse-a,260,0.06389291935038442,0.006975141608573375
sparse-neutral__sparse-a,261,0.06402819331466077,0.006961928470225318
sparse-neutral__sparse-a,262,0.0641150753164214,0.006886475097391606
sparse-neutral__sparse-a,263,0.0641526591020274,0.006837044535486074
sparse-neutral__sparse-a,264,0.06414099249999342,0.006812414049404836
sparse-neutral__sparse-a,265,0.0640727616827672,0.00680206839059585
sparse-neutral__sparse-a,266,0.06396756760561546,0.006803881354844954
sparse-neutral__sparse-a,267,0.06385316709649176,0.006810321697712039
sparse-neutral__sparse-a,268,0.0637550529423382,0.00682833457063235
sparse-neutral__sparse-a,269,0.06368496239389777,0.006851583616528789
sparse-neutral__sparse-a,270,0.0636169782371947,0.006874469047555122
sparse-neutral__sparse-a,271,0.06355951568838854,0.006895274428945859
sparse-neutral__sparse-a,272,0.06351130357385014,0.0069156346961636314
sparse-neutral__sparse-a,273,0.06346863525270938,0.006939355004516958
sparse-neutral__sparse-a,274,0.06342427164547924,0.006964597077162797
sparse-neutral__sparse-a,275,0.06337776922485347,0.006987963254710937
sparse-neutral__sparse-a,276,0.0633294589992021,0.00700702494984366
sparse-neutral__sparse-a,277,0.0632784427484575,0.0070211823167381044
sparse-neutral__sparse-a,278,0.06324104543879765,0.007031961199088628
sparse-neutral__sparse-a,279,0.06321909909652296,0.007045717262565341
sparse-neutral__sparse-a,280,0.06321791738276093,0.007059337923301048
sparse-neutral__sparse-a,281,0.06323883759099407,0.007074586460941508
sparse-neutral__sparse-a,282,0.06327608439089949,0.007081773906417623
sparse-neutral__sparse-a,283,0.0633264435397738,0.0070836436606739215
sparse-neutral__sparse-a,284,0.06338555419872363,0.007085961869664007
sparse-neutral__sparse-a,285,0.06344942572954064,0.007085543488697413
sparse-neutral__sparse-a,286,0.06351608892423143,0.007080219571665937
sparse-neutral__sparse-a,287,0.06358675167988283,0.007065919460000163
sparse-neutral__sparse-a,288,0.06365812041801402,0.007047107268249141
sparse-neutral__sparse-a,289,0.06372931874242585,0.007024037914874057
sparse-neutral__sparse-a,290,0.06379904180878361,0.006994080110830444
sparse-neutral__sparse-a,291,0.06387394270577441,0.006960804730794648
sparse-neutral__sparse-a,292,0.06395292177219275,0.006926258048764601
sparse-neutral__sparse-a,293,0.06403103062670358,0.006893930016464753
sparse-neutral__sparse-a,294,0.06415698585610215,0.006869615092584687
sparse-neutral__sparse-a,295,0.06444220181973055,0.006894255978807853
sparse-neutral__sparse-a,296,0.06510955681435396,0.007045569384474431
sparse-neutral__sparse-a,297,0.06633165339387148,0.007396965618184572
sparse-neutral__sparse-a,298,0.06869935860948952,0.008158636580316635
sparse-neutral__sparse-a,299,0.07225010517771675,0.009444077193427701
sparse-neutral__sparse-a,300,0.06068548781365932,0.008728121487558641
sparse-neutral__sparse-a,301,0.05673689056561958,0.008460721153391224
sparse-neutral__sparse-a,302,0.05707438815546818,0.008994610341100337
sparse-neutral__sparse-a,303,0.057009941587823014,0.00918446962675131
sparse-neutral__sparse-a,304,0.05654655512286236,0.008967689031691962
sparse-neutral__sparse-a,305,0.06003455574872765,0.02072589009003037
sparse-neutral__sparse-a,306,0.05872060219700167,0.01928329655003947
sparse-neutral__sparse-a,307,0.05624043778199744,0.013630067005201524
sparse-neutral__sparse-a,308,0.05478963117314643,0.007254405633356176
sparse-neutral__sparse-a,309,0.057364592678951935,0.007780543706640017
sparse-neutral__sparse-a,310,0.06628467256805522,0.01681399112972113
sparse-neutral__sparse-a,311,0.06519331416711675,0.014642500900961447
sparse-neutral__sparse-a,312,0.06492993775971152,0.013589779135539314
sparse-neutral__sparse-a,313,0.07021948206966983,0.03624500281650497
sparse-neutral__sparse-a,314,0.053303920660201974,0.007574077432328687
sparse-neutral__sparse-a,315,0.05316141966685466,0.0070443390260817905
sparse-neutral__sparse-a,316,0.05312141786087316,0.006615558603065766
sparse-neutral__sparse-a,317,0.05328332892286818,0.006431531914124034
sparse-neutral__sparse-a,318,0.053441977871582697,0.00653485862691987
sparse-neutral__sparse-a,319,0.05343912359661384,0.007140436173547296
sparse-neutral__sparse-a,320,0.05336388587876137,0.0077143609432234845
sparse-neutral__sparse-a,321,0.053279274165899615,0.007990678188157263
sparse-neutral__sparse-a,322,0.053206447835650615,0.007965700145708783
sparse-neutral__sparse-a,323,0.053048866124766975,0.007599308264608072
